,book_name,positive_count,total_count,positive_percentage,normalized_title,is_successful
0,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",10,10,100.0,a court of mist and fury,False
1,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",8,10,80.0,a court of thorns and roses,False
2,A Court of Thorns and Roses Paperback Box Set (5 books),10,10,100.0,a court of thorns and roses paperback box set,False
3,"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",9,10,90.0,a court of wings and ruin,False
4,A Little Life,10,10,100.0,a little life,False
5,All the Light We Cannot See: A Novel,9,10,90.0,all the light we cannot see: a novel,False
6,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,10,10,100.0,atomic habits: an easy & proven way to build good habits & break bad ones,False
7,Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz Straus Award (Awards)),10,10,100.0,balloons over broadway: the true story of the puppeteer of macy's parade,False
8,"Brown Bear, Brown Bear, What Do You See?",10,10,100.0,"brown bear, brown bear, what do you see?",False
9,Chicka Chicka Boom Boom (Board Book),10,10,100.0,chicka chicka boom boom,False
10,Demon Copperhead: A Pulitzer Prize Winner,10,10,100.0,demon copperhead: a pulitzer prize winner,False
11,Dirty Thirty (30) (Stephanie Plum),10,10,100.0,dirty thirty,False
12,Don't Let the Pigeon Drive the Sleigh!,10,10,100.0,don't let the pigeon drive the sleigh!,False
13,Elon Musk,10,10,100.0,elon musk,False
14,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,10,10,100.0,first little readers parent pack: guided reading level a: 25 irresistible books that are just the right level for beginning readers,False
15,Five Silly Turkeys,9,10,90.0,five silly turkeys,False
16,Flash Cards: Sight Words,10,10,100.0,flash cards: sight words,False
17,"Forever Strong: A New, Science-Based Strategy for Aging Well",10,10,100.0,"forever strong: a new, science-based strategy for aging well",False
18,"Fourth Wing (The Empyrean, 1)",10,10,100.0,fourth wing,False
19,"Friends, Lovers, and the Big Terrible Thing: A Memoir",9,10,90.0,"friends, lovers, and the big terrible thing: a memoir",False
20,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",10,10,100.0,from crook to cook: platinum recipes from tha boss dogg's kitchen,False
21,Goodnight Moon,10,10,100.0,goodnight moon,False
22,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",10,10,100.0,"goodnight, goodnight construction site",False
23,Harry Potter Paperback Box Set (Books 1-7),10,10,100.0,harry potter paperback box set,False
24,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",10,10,100.0,harry potter and the prisoner of azkaban,True
25,Hatchet,10,10,100.0,hatchet,False
26,Haunting Adeline (Cat and Mouse Duet),10,10,100.0,haunting adeline,False
27,"Hello, Baby Animals: A Durable High-Contrast Black-and-White Board Book for Newborns and Babies (High-Contrast Books)",10,10,100.0,"hello, baby animals: a durable high-contrast black-and-white board book for newborns and babies",False
28,Hidden Potential: The Science of Achieving Greater Things,7,7,100.0,hidden potential: the science of achieving greater things,False
29,How to Catch a Dinosaur,10,10,100.0,how to catch a dinosaur,False
30,How to Catch a Reindeer,9,10,90.0,how to catch a reindeer,False
31,How to Catch a Turkey,10,10,100.0,how to catch a turkey,False
32,How to Catch an Elf,10,10,100.0,how to catch an elf,False
33,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,10,10,100.0,how to know a person: the art of seeing others deeply and being deeply seen,False
34,Hundred Years' War on Palestine,8,10,80.0,hundred years' war on palestine,False
35,I Am Thankful: A Thanksgiving Book for Kids,9,10,90.0,i am thankful: a thanksgiving book for kids,False
36,I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas (Punderland),10,10,100.0,i love you like no otter: a funny and sweet animal board book for babies and toddlers this christmas,False
37,I Love You to the Moon and Back,10,10,100.0,i love you to the moon and back,False
38,"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes",10,10,100.0,"i'm dead, now what?: important information about my belongings, business affairs, and wishes",False
39,If Animals Kissed Good Night,10,10,100.0,if animals kissed good night,False
40,"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",10,10,100.0,"interesting facts for curious minds: 1572 random but mind-blowing facts about history, science, pop culture and everything in between",False
41,Israel: A Simple Guide to the Most Misunderstood Country on Earth,10,10,100.0,israel: a simple guide to the most misunderstood country on earth,False
42,Just Because,10,10,100.0,just because,False
43,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,10,10,100.0,killers of the flower moon: the osage murders and the birth of the fbi,False
44,Lessons in Chemistry: A Novel,10,10,100.0,lessons in chemistry: a novel,False
45,Little Blue Truck's Christmas: A Christmas Holiday Book for Kids,10,10,100.0,little blue truck's christmas: a christmas holiday book for kids,False
46,Llama Llama Gives Thanks,9,10,90.0,llama llama gives thanks,False
47,"Moo, Baa, La La La!",10,10,100.0,"moo, baa, la la la!",False
48,My First Library : Boxset of 10 Board Books for Kids (My First Book of),10,10,100.0,my first library : boxset of 10 board books for kids,False
49,Night (Night),10,10,100.0,night,False
50,No Brainer (Diary of a Wimpy Kid Book 18),10,10,100.0,no brainer,False
51,Outlive: The Science and Art of Longevity,10,10,100.0,outlive: the science and art of longevity,False
52,Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,10,10,100.0,paint by sticker kids: christmas: create 10 pictures one sticker at a time! includes glitter stickers,False
53,Paw Patrol Phonics: 12 Books in 1,10,10,100.0,paw patrol phonics: 12 books in 1,False
54,Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),10,10,100.0,percy jackson and the olympians: the chalice of the gods,False
55,Pookie's Thanksgiving (Little Pookie),10,10,100.0,pookie's thanksgiving,False
56,Remarkably Bright Creatures: A Read with Jenna Pick,10,10,100.0,remarkably bright creatures: a read with jenna pick,False
57,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,10,10,100.0,rich dad poor dad: what the rich teach their kids about money that the poor and middle class do not!,False
58,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More",10,10,100.0,"school zone - multiplication 0-12 flash cards - ages 8+, 3rd grade, 4th grade, elementary math, multiplication facts, common core, and more",False
59,Stocking Stuffer Mad Libs: World's Greatest Word Game,10,10,100.0,stocking stuffer mad libs: world's greatest word game,False
60,Taylor Swift: A Little Golden Book Biography,10,10,100.0,taylor swift: a little golden book biography,False
61,The 48 Laws of Power,10,10,100.0,the 48 laws of power,False
62,The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),20,20,100.0,the ballad of songbirds and snakes,False
63,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",10,10,100.0,"the body keeps the score: brain, mind, and body in the healing of trauma",False
64,The Christmas Fix,10,10,100.0,the christmas fix,False
65,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,10,10,100.0,the complete cookbook for young chefs: 100+ recipes that you'll love to cook and eat,False
66,The Covenant of Water (Oprah's Book Club),10,10,100.0,the covenant of water,False
67,The Coworker,10,10,100.0,the coworker,False
68,The Creative Act: A Way of Being,10,10,100.0,the creative act: a way of being,False
69,The Exchange: After The Firm (The Firm Series),10,10,100.0,the exchange: after the firm,False
70,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),10,10,100.0,the four agreements: a practical guide to personal freedom,False
71,The Great Disappearance: 31 Ways to be Rapture Ready,10,10,100.0,the great disappearance: 31 ways to be rapture ready,False
72,The Housemaid,10,10,100.0,the housemaid,False
73,The Leaf Thief: (The Perfect Fall Book for Children and Toddlers),10,10,100.0,the leaf thief:,False
74,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",10,10,100.0,"the psychology of money: timeless lessons on wealth, greed, and happiness",False
75,The Seven Husbands of Evelyn Hugo: A Novel,10,10,100.0,the seven husbands of evelyn hugo: a novel,False
76,The Shadow Work Journal 2nd Edition: a Guide to Integrate and Transcend Your Shadows: The Essential Guidebook for Shadow Work,10,10,100.0,the shadow work journal 2nd edition: a guide to integrate and transcend your shadows: the essential guidebook for shadow work,False
77,The Shadow Work Journal: A Guide to Integrate and Transcend your Shadows,10,10,100.0,the shadow work journal: a guide to integrate and transcend your shadows,False
78,The Very Hungry Caterpillar,10,10,100.0,the very hungry caterpillar,True
79,"The Wager: A Tale of Shipwreck, Mutiny and Murder",10,10,100.0,"the wager: a tale of shipwreck, mutiny and murder",False
80,The Woman in Me,10,10,100.0,the woman in me,False
81,The Wonderful Things You Will Be,10,10,100.0,the wonderful things you will be,False
82,The Wonky Donkey,10,10,100.0,the wonky donkey,False
83,There Was an Old Lady Who Swallowed a Turkey!,9,10,90.0,there was an old lady who swallowed a turkey!,False
84,Things We Never Got Over (Knockemout),10,10,100.0,things we never got over,False
85,Tom Lake: A Reese's Book Club Pick,10,10,100.0,tom lake: a reese's book club pick,False
86,Turkey Trouble,10,10,100.0,turkey trouble,False
87,Verity,10,10,100.0,verity,False
88,Where's Bluey?: A Search-and-Find Book,10,10,100.0,where's bluey?: a search-and-find book,False
89,Where's Spot?,10,10,100.0,where's spot?,False
90,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",10,10,100.0,"world of eric carle, around the farm 30-button animal sound book - great for first words - pi kids",False
